Gene_ID,Corrected p-value,p-value,FCAbsolute,regulation,Symbol,Definition
"830037,3060021,6040753,3400372,3840736|102103",0.002786136,5.56E-04,2.5798821,down,Mtus1,"Mus musculus mitochondrial tumor suppressor 1 (Mtus1), nuclear gene encoding mitochondrial protein, transcript variant 3, mRNA.///Mus musculus mitochondrial tumor suppressor 1 (Mtus1), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.///Mus musculus mitochondrial tumor suppressor 1 (Mtus1), nuclear gene encoding mitochondrial protein, transcript variant 4, mRNA."
2900594|67064,0.008488242,0.00196742,2.0713377,down,Chmp1b,"Mus musculus chromatin modifying protein 1B (Chmp1b), mRNA."
2690717|23986,0.010887165,0.002616989,2.5873456,down,Peci,"Mus musculus peroxisomal delta3, delta2-enoyl-Coenzyme A isomerase (Peci), mRNA."
4780066|13007,0.031916995,0.009092101,5.6314855,up,Csrp1,"Mus musculus cysteine and glycine-rich protein 1 (Csrp1), mRNA."
"3780167,6020368|100561",0.040893856,0.012169847,3.1472847,down,Slc15a4,"Mus musculus solute carrier family 15, member 4 (Slc15a4), mRNA."
6370504|331491,0.002002198,1.92E-04,24.466944,down,5031408O05Rik,"Mus musculus RIKEN cDNA 5031408O05 gene (5031408O05Rik), mRNA."
2850133|17698,0.03541832,0.010267799,3.2441103,up,Msn,"Mus musculus moesin (Msn), mRNA."
"4220056,4060484|22003",0.002250021,4.39E-04,2.4189858,up,Tpm1,"Mus musculus tropomyosin 1, alpha (Tpm1), mRNA."
"1580343,4250167,270594|68059",0.016438639,0.00420061,3.4012294,down,Tm9sf2,"Mus musculus transmembrane 9 superfamily member 2 (Tm9sf2), mRNA."
"4010241,6350441|671641",0.001204805,1.72E-05,2.3698711,up,LOC671641,"PREDICTED: Mus musculus similar to ribosomal protein S12 (LOC671641), mRNA."
580162,0.002002198,2.52E-04,5.612766,down,B930075F07,
"4610301,3940176,1510300|29807",0.01268044,0.003103804,2.8746414,down,Tpk1,"Mus musculus thiamine pyrophosphokinase (Tpk1), mRNA."
3140500|51788,0.017990414,0.004663758,4.151378,up,H2afz,"Mus musculus H2A histone family, member Z (H2afz), mRNA."
"3830400,6330167,2190390|110109",0.02216066,0.005938444,3.0694313,up,Nol1,"Mus musculus nucleolar protein 1 (Nol1), mRNA."
"1660156,5490753|67452",0.002002198,1.20E-04,3.3497064,down,Pnpla8,"Mus musculus patatin-like phospholipase domain containing 8 (Pnpla8), mRNA."
5360608|21873,0.00145416,2.38E-05,3.0611093,up,Tjp2,"Mus musculus tight junction protein 2 (Tjp2), mRNA."
"2260138,4060291,6770528|55936",0.012968802,0.003186393,5.6508994,up,Ctps2,"Mus musculus cytidine 5'-triphosphate synthase 2 (Ctps2), mRNA."
"1230358,3390020|66904",0.005917123,0.001302496,2.8202078,down,Pccb,"Mus musculus propionyl Coenzyme A carboxylase, beta polypeptide (Pccb), nuclear gene encoding mitochondrial protein, mRNA.///Mus musculus propionyl Coenzyme A carboxylase, beta polypeptide (Pccb), mRNA."
1340041|66929,0.002415055,4.75E-04,10.918466,up,Asf1b,"Mus musculus ASF1 anti-silencing function 1 homolog B (S. cerevisiae) (Asf1b), mRNA."
6840575,0.002002198,9.07E-05,2.6754105,up,LOC381999,
2320370,0.001882172,3.57E-05,5.5182085,up,LOC381150,
2850102,0.023815658,0.00646117,4.138881,up,BC062650,
"2190452,580450|117586",0.039305706,0.011619898,48.0925,down,A1bg,"Mus musculus alpha-1-B glycoprotein (A1bg), mRNA."
"3140139,5050609,6200333|52055",0.002002198,2.44E-04,11.260006,up,Rab11fip5,"Mus musculus RAB11 family interacting protein 5 (class I) (Rab11fip5), transcript variant 1, mRNA."
4280280|69187,0.015528735,0.003922278,75.2503,down,1810033M07Rik,"Mus musculus RIKEN cDNA 1810033M07 gene (1810033M07Rik), mRNA."
7570682|68475,0.005239246,0.00113494,2.2439215,up,Ssna1,"Mus musculus Sjogren's syndrome nuclear autoantigen 1 (Ssna1), mRNA."
150114|12654,9.42E-05,3.21E-07,127.43047,up,Chi3l1,"Mus musculus chitinase 3-like 1 (Chi3l1), mRNA."
"3830168,5570356,4200601|12190",0.002002198,1.12E-04,4.6422014,up,Brca2,"Mus musculus breast cancer 2 (Brca2), transcript variant 1, mRNA.///Mus musculus breast cancer 2 (Brca2), transcript variant 2, mRNA."
7400468,0.002002198,3.15E-04,2.2589557,down,Ssfa2,
3170154|320394,4.84E-04,4.05E-06,44.911045,up,Cenpt,"Mus musculus centromere protein T (Cenpt), mRNA."
"450131,150132|76508",0.04517154,0.013642806,2.1666372,down,2210015D19Rik,"PREDICTED: Mus musculus RIKEN cDNA 2210015D19 gene, transcript variant 5 (2210015D19Rik), mRNA."
"1710546,4670112|260302",0.009598867,0.002264775,3.3694463,up,Gga3,"Mus musculus golgi associated, gamma adaptin ear containing, ARF binding protein 3 (Gga3), mRNA."
"4610356,5870121,7570494|17913",0.021433359,0.005710064,3.7352204,up,Myo1c,"Mus musculus myosin IC (Myo1c), transcript variant 3, mRNA.///Mus musculus myosin IC (Myo1c), transcript variant 2, mRNA.///Mus musculus myosin IC (Myo1c), transcript variant 1, mRNA."
50543,4.83E-04,4.01E-06,10.277021,down,Myo18b,
1500474,0.045713432,0.013858045,8.127809,down,C230004L04,
2100215|384783,0.003627017,7.48E-04,6.8643975,up,Irs2,"Mus musculus insulin receptor substrate 2 (Irs2), mRNA."
"4490626,7100424,5870450|209224",0.030854544,0.008746599,4.16983,down,Cova1///Enox2,"Mus musculus ecto-NOX disulfide-thiol exchanger 2 (Enox2), mRNA.///Mus musculus cytosolic ovarian carcinoma antigen 1 (Cova1), mRNA."
"540202,4890022,1090093,580379,7320471,4810474,670707,1090445,1710707|22129",0.010366136,0.002469664,3.1948082,up,Ttc3,"Mus musculus tetratricopeptide repeat domain 3 (Ttc3), mRNA."
3940433|58180,0.003491131,7.16E-04,7.9514675,up,Hic2,"Mus musculus hypermethylated in cancer 2 (Hic2), mRNA."
2030523|67759,0.002002198,1.30E-04,3.8411288,up,5033414D02Rik,"Mus musculus RIKEN cDNA 5033414D02 gene (5033414D02Rik), mRNA."
1430139,0.002002198,6.52E-05,5.314633,down,Asl,
1440746,0.002002198,1.44E-04,4.6822963,down,Asl,
1770224|21677,0.020956434,0.005568457,7.8541656,up,Tead2,"Mus musculus TEA domain family member 2 (Tead2), mRNA."
4220563|433546,0.007601009,0.001735828,2.3913527,up,LOC433546,"PREDICTED: Mus musculus similar to 60S ribosomal protein L9 (LOC433546), mRNA."
3180022|113868,0.005682741,0.00124367,2.1659496,down,Acaa1a,"Mus musculus acetyl-Coenzyme A acyltransferase 1A (Acaa1a), mRNA."
"7610273,5490722,1010368|15931",0.002430001,4.78E-04,3.2946932,down,Ids,"Mus musculus iduronate 2-sulfatase (Ids), transcript variant 1, mRNA.///Mus musculus iduronate 2-sulfatase (Ids), transcript variant 3, mRNA."
6450500,0.049878336,0.015417885,2.1461482,up,Whsc2,
5260762,0.004712298,0.001004432,51.273975,up,6-Sep,
1240064,0.039626546,0.011727357,6.5647173,down,C230070I11Rik,
670673|230376,0.002002198,7.30E-05,4.151671,up,6230416J20Rik,"Mus musculus RIKEN cDNA 6230416J20 gene (6230416J20Rik), mRNA."
"4540273,3890524,450411|270076",0.003761425,7.79E-04,3.2458382,down,Gcdh,"Mus musculus glutaryl-Coenzyme A dehydrogenase (Gcdh), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.///Mus musculus glutaryl-Coenzyme A dehydrogenase (Gcdh), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA."
"3990497,6560482|71756",0.002002198,1.59E-04,5.020042,down,Cpn2,"Mus musculus carboxypeptidase N, polypeptide 2 (Cpn2), mRNA."
7560010|67881,0.033251476,0.009542472,4.7738237,down,1810034K20Rik,"Mus musculus RIKEN cDNA 1810034K20 gene (1810034K20Rik), mRNA."
2490022,0.001441964,2.32E-05,8.331315,down,Pex11a,
2850398|65256,0.036262665,0.010570273,2.4040203,up,Asb2,"Mus musculus ankyrin repeat and SOCS box-containing 2 (Asb2), mRNA."
1070128,0.04183953,0.012483251,59.47126,down,Myh7,
7050215|100041500,0.0289532,0.008115473,3.1633651,up,LOC100041500,"PREDICTED: Mus musculus similar to LSM7 homolog, U6 small nuclear RNA associated (LOC100041500), mRNA."
"5290450,5220519,2030703,3360414,1710386|338366",0.002002198,7.00E-05,4.675707,down,Mia3,"Mus musculus melanoma inhibitory activity 3 (Mia3), mRNA."
"4290152,3360241|69573",0.023772726,0.006446083,12.7192,up,2310016C08Rik,"Mus musculus RIKEN cDNA 2310016C08 gene (2310016C08Rik), mRNA."
"4290368,4640356,6660722|50790",0.008145841,0.001877344,3.1543195,down,Acsl4,"Mus musculus acyl-CoA synthetase long-chain family member 4 (Acsl4), transcript variant 3, mRNA.///Mus musculus acyl-CoA synthetase long-chain family member 4 (Acsl4), transcript variant 1, mRNA.///Mus musculus acyl-CoA synthetase long-chain family member 4 (Acsl4), transcript variant 2, mRNA."
7650020|67289,0.002002198,6.43E-05,47.418182,up,3110021A11Rik,"PREDICTED: Mus musculus RIKEN cDNA 3110021A11 gene (3110021A11Rik), mRNA."
2900110|223776,0.002930072,5.88E-04,4.192457,down,1300018J18Rik,"Mus musculus RIKEN cDNA 1300018J18 gene (1300018J18Rik), mRNA."
3140707|72119,2.08E-04,9.83E-07,766.7462,up,Tpx2,"Mus musculus TPX2, microtubule-associated protein homolog (Xenopus laevis) (Tpx2), mRNA."
"520689,4920180|13681",0.006457788,0.00144262,2.3341448,up,Eif4a1,"Mus musculus eukaryotic translation initiation factor 4A1 (Eif4a1), mRNA."
"6550672,1940326,3140064,5870601|19266",0.003128824,6.33E-04,23.391062,down,Ptprd,"Mus musculus protein tyrosine phosphatase, receptor type, D (Ptprd), transcript variant a, mRNA."
"2370326,4260630|12175",0.029505393,0.008300126,2.6626585,down,Bnip2,"Mus musculus BCL2/adenovirus E1B interacting protein 2 (Bnip2), transcript variant beta, mRNA.///Mus musculus BCL2/adenovirus E1B interacting protein 2 (Bnip2), transcript variant alpha, mRNA."
110554,0.002002198,1.69E-04,5.2624593,down,Osbpl5,
5360056|56620,0.003337141,6.80E-04,13.406109,up,Clec4n,"Mus musculus C-type lectin domain family 4, member n (Clec4n), mRNA."
"3130669,1440020,5220452|266632",0.002002198,2.13E-04,4.6654396,down,Irak4,"Mus musculus interleukin-1 receptor-associated kinase 4 (Irak4), mRNA."
4150097,0.003156687,6.39E-04,11.766513,down,Ppp1r3b,
3930176|27214,0.002002198,7.84E-05,14.4049225,up,Dbf4,"Mus musculus DBF4 homolog (S. cerevisiae) (Dbf4), mRNA."
"4830047,4220239,730639|67876",0.004924482,0.001055928,5.138526,down,Coq10b,"Mus musculus coenzyme Q10 homolog B (S. cerevisiae) (Coq10b), transcript variant 1, mRNA."
"3890224,5340487|97541",0.002002198,1.20E-04,2.2551277,up,Qars,"Mus musculus glutaminyl-tRNA synthetase (Qars), mRNA."
5550296|78339,5.73E-04,5.11E-06,24.75254,up,Ttyh3,"Mus musculus tweety homolog 3 (Drosophila) (Ttyh3), mRNA."
4760026,0.034484286,0.009950134,2.0042925,down,2010003K15Rik,
460376,0.008356938,0.001931909,30.141108,up,A430092C21Rik,
"1740088,4390193,770465,2630092,5420463|72333",0.021660428,0.005781837,5.3157377,down,Palld,"PREDICTED: Mus musculus palladin, cytoskeletal associated protein, transcript variant 4 (Palld), mRNA.///Mus musculus palladin, cytoskeletal associated protein (Palld), mRNA.///PREDICTED: Mus musculus palladin, cytoskeletal associated protein, transcript variant 6 (Palld), mRNA."
7610494|66256,0.026415706,0.007292652,2.0911767,up,Ssr2,"Mus musculus signal sequence receptor, beta (Ssr2), mRNA."
2810324,0.006144384,0.001361481,10.148633,down,LOC385520,
1820541|16818,0.002002198,5.69E-05,6.296915,up,Lck,"Mus musculus lymphocyte protein tyrosine kinase (Lck), mRNA."
1450242|12350,0.009882003,0.00234164,5978.3286,down,Car3,"Mus musculus carbonic anhydrase 3 (Car3), mRNA."
4900703|19921,1.40E-04,5.85E-07,3.6103177,up,Rpl19,"Mus musculus ribosomal protein L19 (Rpl19), mRNA."
"2340689,2900561,6220114|67877",0.021381335,0.005694968,2.34305,up,Nat5,"Mus musculus N-acetyltransferase 5 (ARD1 homolog, S. cerevisiae) (Nat5), mRNA."
6060376|56452,0.011901872,0.002892575,5.1785593,up,Orc6l,"Mus musculus origin recognition complex, subunit 6-like (S. cerevisiae) (Orc6l), mRNA."
6290592|226691,0.023101157,0.006233402,5.648231,up,AI607873,"PREDICTED: Mus musculus expressed sequence AI607873 (AI607873), mRNA."
"6590397,4830632,3420554|20018",0.005677132,0.001242278,2.6482432,up,Polr1d,"Mus musculus polymerase (RNA) I polypeptide D (Polr1d), transcript variant 2, mRNA.///Mus musculus polymerase (RNA) I polypeptide D (Polr1d), transcript variant 1, mRNA."
2490368|18828,0.004975774,0.001069805,6.9502635,down,Plscr2,"Mus musculus phospholipid scramblase 2 (Plscr2), mRNA."
3850725|103988,0.002002198,2.95E-04,27.752176,down,Gck,"Mus musculus glucokinase (Gck), mRNA."
1780202,0.006526521,0.001460806,2.8747668,down,AI256775,
6370152|69876,0.03206116,0.009139661,2.6684887,down,Thap3,"Mus musculus THAP domain containing, apoptosis associated protein 3 (Thap3), mRNA."
240653|14381,0.003447118,7.06E-04,24.5499,up,G6pdx,"Mus musculus glucose-6-phosphate dehydrogenase X-linked (G6pdx), mRNA."
3190685|16828,8.02E-04,9.15E-06,2.852098,up,Ldha,"Mus musculus lactate dehydrogenase A (Ldha), mRNA."
3360010|64136,0.020846132,0.005536133,2.1862805,down,Sdf2l1,"Mus musculus stromal cell-derived factor 2-like 1 (Sdf2l1), mRNA."
5860333|17281,0.01653246,0.004229368,4.1527867,down,Fyco1,"Mus musculus FYVE and coiled-coil domain containing 1 (Fyco1), mRNA."
3370168,9.24E-04,1.13E-05,2.5940454,up,B230333E16Rik,
6620369|66901,0.007436967,0.001691697,5.112796,down,Proz,"Mus musculus protein Z, vitamin K-dependent plasma glycoprotein (Proz), mRNA."
290575|114663,0.002002198,2.11E-04,131.10863,up,Impa2,"Mus musculus inositol (myo)-1(or 4)-monophosphatase 2 (Impa2), mRNA."
"3180164,3990296|228421",0.001553395,2.64E-05,212.84435,up,Kif18a,"Mus musculus kinesin family member 18A (Kif18a), mRNA."
"1240731,7650070,2320292,3940612|12499",0.002002198,1.91E-04,4.5050673,down,Entpd5,"Mus musculus ectonucleoside triphosphate diphosphohydrolase 5 (Entpd5), transcript variant 1, mRNA.///Mus musculus ectonucleoside triphosphate diphosphohydrolase 5 (Entpd5), transcript variant 2, mRNA."
7330725|66098,0.032824226,0.009392323,2.548932,up,Chchd6,"Mus musculus coiled-coil-helix-coiled-coil-helix domain containing 6 (Chchd6), mRNA."
5090202,0.04571575,0.01386007,12.550897,down,LOC381019,
"940138,3310187,6560692,2340241|20448",0.002002198,1.50E-04,113.970764,up,St6galnac4,"Mus musculus ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1, 3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 4 (St6galnac4), mRNA."
"2030091,5720092|93686",0.002002198,9.85E-05,8.840271,up,Rbm9,"Mus musculus RNA binding motif protein 9 (Rbm9), transcript variant 1, mRNA.///Mus musculus RNA binding motif protein 9 (Rbm9), transcript variant 2, mRNA."
150255|106861,7.71E-04,8.48E-06,8.948891,down,Abhd3,"Mus musculus abhydrolase domain containing 3 (Abhd3), mRNA."
6520491,0.005366201,0.001165612,2.4420204,up,G630014P16Rik,
"2230731,780221|100044190",0.013975331,0.003468059,2.986307,down,LOC100044190,"PREDICTED: Mus musculus hypothetical protein LOC100044190 (LOC100044190), mRNA."
"4850187,3060128,7320021,1570369,3400497,5130168|12064",0.045918837,0.013937983,6.1276727,down,Bdnf,"Mus musculus brain derived neurotrophic factor (Bdnf), transcript variant 1, mRNA.///Mus musculus brain derived neurotrophic factor (Bdnf), transcript variant 3, mRNA.///Mus musculus brain derived neurotrophic factor (Bdnf), transcript variant 2, mRNA.///Mus musculus brain derived neurotrophic factor (Bdnf), transcript variant 4, mRNA."
"4210646,6060040|18555",0.007903446,0.001813883,2.0409522,up,Pctk1,"Mus musculus PCTAIRE-motif protein kinase 1 (Pctk1), mRNA. XM_920756 XM_920762 XM_920768 XM_920773///PREDICTED: Mus musculus PCTAIRE-motif protein kinase 1, transcript variant 8 (Pctk1), mRNA."
5570082,0.002002198,5.50E-05,24.61516,up,LOC381694,
2340717|72993,0.004086522,8.55E-04,2.3453488,up,Appl1,"Mus musculus adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1 (Appl1), mRNA."
1030452,0.008775704,0.00204268,4.061628,up,Preb,
4290739,0.002163457,4.20E-04,15.70272,up,Plekhk1,
4640594,0.004560621,9.67E-04,35.35815,down,Aof1,
"4490341,240463|102323",0.043120403,0.012931114,2.3359306,down,Dcun1d2,"Mus musculus DCN1, defective in cullin neddylation 1, domain containing 2 (S. cerevisiae) (Dcun1d2), transcript variant 3, mRNA."
"3890209,4610095|100037258",0.002002198,5.42E-05,3.4519937,down,Dnajc3,"Mus musculus DnaJ (Hsp40) homolog, subfamily C, member 3 (Dnajc3), mRNA."
5080424|70129,0.007080911,0.001601281,12.536566,up,Slc44a4,"Mus musculus solute carrier family 44, member 4 (Slc44a4), mRNA."
6110717|235323,0.030273145,0.008547162,2.3747811,up,Usp28,"Mus musculus ubiquitin specific peptidase 28 (Usp28), mRNA."
1690768|20304,0.002002198,2.64E-04,7.5643954,up,Ccl5,"Mus musculus chemokine (C-C motif) ligand 5 (Ccl5), mRNA."
"1510528,3710543|71373",0.036259875,0.010567253,25.87869,down,Prr16,"Mus musculus proline rich 16 (Prr16), mRNA."
6330630|18476,0.002002198,5.35E-05,16.074171,up,Pafah1b3,"Mus musculus platelet-activating factor acetylhydrolase, isoform 1b, alpha1 subunit (Pafah1b3), mRNA."
4200195|12630,0.014844284,0.003720197,3.495159,down,Cfi,"Mus musculus complement component factor i (Cfi), mRNA."
"1170544,6590575,3420138|30956",0.008668384,0.002013196,11.993173,down,Aass,"Mus musculus aminoadipate-semialdehyde synthase (Aass), nuclear gene encoding mitochondrial protein, mRNA."
"1660477,2690670|276852",0.04419884,0.013304277,2.2503521,up,D11Wsu47e,"Mus musculus DNA segment, Chr 11, Wayne State University 47, expressed (D11Wsu47e), mRNA."
1300647,0.001935699,3.70E-05,91.25899,up,Mlana,
6130382,7.07E-06,1.35E-08,10.268044,down,Slc19a3,
4230358|100727,0.003057212,6.17E-04,6.209635,down,Ugt2b34,"Mus musculus UDP glucuronosyltransferase 2 family, polypeptide B34 (Ugt2b34), mRNA."
70278|26385,0.024763292,0.006752072,3.5333662,up,Gprk6,"Mus musculus G protein-coupled receptor kinase 6 (Gprk6), transcript variant 1, mRNA."
4250491|211986,0.01984225,0.00521959,3.197074,down,Tmem18,"Mus musculus transmembrane protein 18 (Tmem18), mRNA."
4810328|67122,0.022908973,0.006172108,4.0634217,up,Nrarp,"Mus musculus Notch-regulated ankyrin repeat protein (Nrarp), mRNA."
7510162|71968,0.0278884,0.007761345,2.073719,up,Wdr73,"PREDICTED: Mus musculus WD repeat domain 73 (Wdr73), mRNA."
4540603|226844,0.025477447,0.006985716,2.3598857,up,Mfsd7b,"Mus musculus major facilitator superfamily domain containing 7B (Mfsd7b), mRNA."
"3190376,630170,6620474,6130364,4220259|20438",0.016146287,0.004112826,3.8246684,up,Siah1b,"Mus musculus seven in absentia 1B (Siah1b), mRNA."
"10167,4640348|630499",0.003779003,7.83E-04,3.418391,down,EG630499,"Mus musculus predicted gene, EG630499 (EG630499), mRNA."
610056,0.002853888,5.70E-04,3.5693493,down,BC005682,
"1570367,4060390|26367",0.003920713,8.17E-04,21.509233,down,Ceacam2,"Mus musculus CEA-related cell adhesion molecule 2 (Ceacam2), mRNA."
"2000592,2710593|13108",0.026884671,0.007437327,66.272995,down,Cyp2g1,"Mus musculus cytochrome P450, family 2, subfamily g, polypeptide 1 (Cyp2g1), mRNA."
4200088|19229,0.004411611,9.31E-04,3.954554,down,Ptk2b,"Mus musculus PTK2 protein tyrosine kinase 2 beta (Ptk2b), mRNA."
1450220,0.005574408,0.00121722,2.1951323,up,Tbrg1,
"1090382,4890070|72391",2.51E-05,6.03E-08,544.74115,up,Cdkn3,"PREDICTED: Mus musculus cyclin-dependent kinase inhibitor 3, transcript variant 4 (Cdkn3), mRNA.///PREDICTED: Mus musculus cyclin-dependent kinase inhibitor 3, transcript variant 5 (Cdkn3), mRNA."
4390754,0.021913178,0.005862617,2.0670745,up,Slc7a7,
4810630,0.042438544,0.012690926,12.073904,up,9430032E06Rik,
"6510397,2810075|80880",0.003433159,7.03E-04,3.9062598,up,Kank3///Ankrd47,"Mus musculus KN motif and ankyrin repeat domains 3 (Kank3), mRNA.///Mus musculus ankyrin repeat domain 47 (Ankrd47), mRNA."
730612|75475,0.008668384,0.002013436,11.205688,down,Oplah,"Mus musculus 5-oxoprolinase (ATP-hydrolysing) (Oplah), mRNA."
"2940291,2340072|232415",0.002075025,4.00E-04,14.415389,up,Gm156,"Mus musculus gene model 156, (NCBI) (Gm156), mRNA."
"2810554,5890221,240301|14102",0.002002198,9.76E-05,4.8024087,down,Fas,"Mus musculus Fas (TNF receptor superfamily member 6) (Fas), mRNA."
2100762|233744,0.00852197,0.001975977,43.888077,up,Spon1,"Mus musculus spondin 1, (f-spondin) extracellular matrix protein (Spon1), mRNA."
"3130356,1170482,2000136|76308",0.002002198,3.64E-04,2.2429068,down,Rab1b,"Mus musculus RAB1B, member RAS oncogene family (Rab1b), mRNA."
870019,4.87E-08,3.38E-11,55.430084,down,Mug-ps1,
7320731|17305,0.04266966,0.01276868,6.664738,up,Mfng,"Mus musculus MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase (Mfng), mRNA."
7150451|637353,0.012410661,0.003027717,3.5823674,up,LOC637353,"PREDICTED: Mus musculus similar to Anp32b protein (LOC637353), mRNA."
"6560204,1010347|94185",0.022462241,0.006037455,2.5687675,up,Tnfrsf21,"Mus musculus tumor necrosis factor receptor superfamily, member 21 (Tnfrsf21), mRNA."
5690470|320878,0.006827105,0.001535985,20.32035,up,Mical2,"Mus musculus microtubule associated monoxygenase, calponin and LIM domain containing 2 (Mical2), mRNA."
5550202,0.026789492,0.007408244,10.179773,up,4831437C03Rik,
3370445|319997,0.018501794,0.00482244,18.825108,down,A630001G21Rik,"PREDICTED: Mus musculus RIKEN cDNA A630001G21 gene, transcript variant 7 (A630001G21Rik), mRNA."
3710114|83702,1.27E-07,1.03E-10,1233.0038,down,Akr1c6,"Mus musculus aldo-keto reductase family 1, member C6 (Akr1c6), mRNA."
4040671,0.04114985,0.012255553,26.935175,down,Chd9,
6290731,0.009627548,0.002272432,2.1671708,down,Chd9,
"7510040,1440040,6110162|380711",0.002044474,3.94E-04,7.8844814,up,Garnl4,"Mus musculus GTPase activating RANGAP domain-like 4 (Garnl4), mRNA."
"6020327,5900020,5900064|269608",0.024169235,0.006571778,3.767115,up,Plekhg5,"Mus musculus pleckstrin homology domain containing, family G (with RhoGef domain) member 5 (Plekhg5), mRNA."
5670612|227712,0.003898636,8.12E-04,10.027193,up,BC034076,"Mus musculus cDNA sequence BC034076 (BC034076), mRNA."
3990427,0.03720917,0.010904299,2.3345518,down,0610010I05Rik,
2260010|107272,4.01E-04,2.91E-06,881.72876,up,Psat1,"Mus musculus phosphoserine aminotransferase 1 (Psat1), mRNA."
20358,0.02203747,0.005902245,3.556016,down,Tapbp,
"3990746,2190753|57429",0.001062502,1.40E-05,35.755783,down,Sult5a1,"Mus musculus sulfotransferase family 5A, member 1 (Sult5a1), mRNA."
"2750500,4780154|12462",0.03583752,0.010413258,2.5387583,up,Cct3,"Mus musculus chaperonin containing Tcp1, subunit 3 (gamma) (Cct3), mRNA."
7040035|103468,0.005933809,0.001307028,9.902085,up,Nup107,"Mus musculus nucleoporin 107 (Nup107), mRNA."
7000307|83435,0.015810678,0.004009958,2.1347992,down,Plekha3,"Mus musculus pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3 (Plekha3), mRNA."
110112|20296,0.02927555,0.008221918,18.20306,up,Ccl2,"Mus musculus chemokine (C-C motif) ligand 2 (Ccl2), mRNA."
"1780673,1780450,6100717|104110",0.007826304,0.001793165,3.4761825,up,Adcy4,"Mus musculus adenylate cyclase 4 (Adcy4), mRNA."
4880672,0.002002198,3.02E-04,3594.5083,down,LOC236060,
3440725,0.002002198,1.13E-04,27.721445,up,Rrm2,
2190110,0.002002198,8.68E-05,34.60106,up,Rrm2,
4260333|65113,0.00441048,9.31E-04,2.3191504,down,Ndfip1,"Mus musculus Nedd4 family interacting protein 1 (Ndfip1), mRNA."
"6900048,6550100|109151",0.006899814,0.001554539,2.2115211,down,Chd9,"Mus musculus chromodomain helicase DNA binding protein 9 (Chd9), mRNA."
7320242|668183,0.02879693,0.008063341,30.401531,up,LOC668183,"PREDICTED: Mus musculus similar to Tera (LOC668183), misc RNA."
3870630|319159,0.007952102,0.001827969,3.1663487,up,Hist1h4j,"Mus musculus histone cluster 1, H4j (Hist1h4j), mRNA."
4830386|56419,0.001642046,2.84E-05,53.13504,up,Diap3,"Mus musculus diaphanous homolog 3 (Drosophila) (Diap3), mRNA."
5820484|632230,0.001862557,3.50E-05,2.481375,up,LOC632230,"PREDICTED: Mus musculus similar to Ribosomal protein L5 (LOC632230), misc RNA."
770746|71910,0.004646991,9.88E-04,2.7263126,up,Ppapdc1b,"Mus musculus phosphatidic acid phosphatase type 2 domain containing 1B (Ppapdc1b), mRNA."
5910564|68312,0.014526221,0.003628719,4.887542,down,Gstm7,"Mus musculus glutathione S-transferase, mu 7 (Gstm7), mRNA. XM_922862 XM_922867 XM_988105 XM_988145 XM_988175 XM_988211 XM_988243 XM_993607"
1980593|20318,0.002002198,2.51E-04,7.54437,down,Sdf4,"Mus musculus stromal cell derived factor 4 (Sdf4), mRNA."
5670564|68631,0.007441029,0.001693051,4.627313,down,Cryl1,"Mus musculus crystallin, lambda 1 (Cryl1), mRNA."
"4880598,5690193,4050167|319996",0.002002198,1.89E-04,104.85249,up,Casc4,"Mus musculus cancer susceptibility candidate 4 (Casc4), transcript variant 1, mRNA.///Mus musculus cancer susceptibility candidate 4 (Casc4), transcript variant 2, mRNA."
"6560017,4780349,5390754|18707",2.25E-04,1.11E-06,25.206886,up,Pik3cd,"Mus musculus phosphatidylinositol 3-kinase catalytic delta polypeptide (Pik3cd), transcript variant 1, mRNA."
5290131|20183,0.02381638,0.006462054,114.016396,down,Rxrg,"Mus musculus retinoid X receptor gamma (Rxrg), mRNA."
5890577,0.00901801,0.002106124,3.6754587,down,8030481K01Rik,
6510487|15199,0.037480455,0.011001148,2.209138,down,Hebp1,"Mus musculus heme binding protein 1 (Hebp1), mRNA."
"6580594,3460433|21855",0.010498769,0.002505709,2.0437055,down,Timm17b,"Mus musculus translocase of inner mitochondrial membrane 17b (Timm17b), nuclear gene encoding mitochondrial protein, mRNA.///Mus musculus translocase of inner mitochondrial membrane 17b (Timm17b), mRNA."
2570615|16971,0.00208533,4.03E-04,4.066796,down,Lrp1,"Mus musculus low density lipoprotein receptor-related protein 1 (Lrp1), mRNA."
1440309|102462,0.002002198,2.25E-04,2.829231,up,Imp3,"Mus musculus IMP3, U3 small nucleolar ribonucleoprotein, homolog (yeast) (Imp3), mRNA."
290433|100048445,0.002484802,4.91E-04,2.990502,up,LOC100048445,"PREDICTED: Mus musculus similar to fau (LOC100048445), mRNA."
3360161|11828,0.00809569,0.001864489,64.50503,up,Aqp3,"Mus musculus aquaporin 3 (Aqp3), mRNA."
